APL,thickness,bending,tilt,zorder,compress
0.64741034,0.298381243,0.078908494,0.03611811,0.164090971,0.042624026
0.668535376,0.283140827,0.079388604,0.03408091,0.160308151,0.042889804
0.63614819,0.309658159,0.080302492,0.037112958,0.167408554,0.04184937
0.72161217,0.2350388,0.078453148,0.029083595,0.150632329,0.040350185
0.607945191,0.33700282,0.081985674,0.040620489,0.171503747,0.040618752
0.699979136,0.255461765,0.077162441,0.031399479,0.15446278,0.042025164
0.689172824,0.263026681,0.077641194,0.031878581,0.157184417,0.042670769
0.634678623,0.333435619,0.087018446,0.039910206,0.202269205,0.066751012
0.600762905,0.355586115,0.088504312,0.045850794,0.216677151,0.067696513
0.586176085,0.366088587,0.091443291,0.048930798,0.222084977,0.069363504
0.613136302,0.345624561,0.08863133,0.043501432,0.210308943,0.06818012
0.578742068,0.371693454,0.090849743,0.050274002,0.224573995,0.068981699
0.556725767,0.385384131,0.093388497,0.055016158,0.233267281,0.071204331
0.619511233,0.342440272,0.088994808,0.041667817,0.20914585,0.067900413
0.678903993,0.278740819,0.081832294,0.033905375,0.18300507,0.051749565
0.63371025,0.317406569,0.085034895,0.040235488,0.198548416,0.056257374
0.61457412,0.330583547,0.085463879,0.041930666,0.204844624,0.056059908
0.650662439,0.30290627,0.082574429,0.038190597,0.194637102,0.057617487
0.608126619,0.339397108,0.085786615,0.043868336,0.207929588,0.057783816
0.581681204,0.36405647,0.090332087,0.049046163,0.218466098,0.058167487
0.658021617,0.297323367,0.083138419,0.036048891,0.19026609,0.05476769
0.717455199,0.238008006,0.080100382,0.029635534,0.167252367,0.043604085
0.663630014,0.28546626,0.082125473,0.036010436,0.183799296,0.04493173
0.641572891,0.301909698,0.08343719,0.038007824,0.189075305,0.045481905
0.681648093,0.266144319,0.080601263,0.034474506,0.177573982,0.044485699
0.629682546,0.312469507,0.083154396,0.039273213,0.19299105,0.046312528
0.60050437,0.340011793,0.082909148,0.043783283,0.201545872,0.047764518
0.691823942,0.258158837,0.079863123,0.032643153,0.175072779,0.045257717
0.685773315,0.303181277,0.081881025,0.032062259,0.203091123,0.030944727
0.712202855,0.282159931,0.080954355,0.029260035,0.193777522,0.029489183
0.677599978,0.308013634,0.08361773,0.032753088,0.204294093,0.031392528
0.601214208,0.372742954,0.089562792,0.043421356,0.23076054,0.035816193
0.631358488,0.349183431,0.087874017,0.039097678,0.220073381,0.03421351
0.661230627,0.326823486,0.084180921,0.034744594,0.210406421,0.032537687
0.638599738,0.338497362,0.085939995,0.038501855,0.217234328,0.033002838
0.791346333,0.173496532,0.063330467,0.020186058,0.041507115,0.03490855
0.81561461,0.160243155,0.062546953,0.017720879,0.037337373,0.038174264
0.695271076,0.248389225,0.064203214,0.027920903,0.057385543,0.03225304
0.761322248,0.195835776,0.062769273,0.022026007,0.047849846,0.037131986
0.782537998,0.181653252,0.06374611,0.020445289,0.043622725,0.035169839
0.727168406,0.221110718,0.06222142,0.025298285,0.053116108,0.033311154
0.740092891,0.212523999,0.061834616,0.02416319,0.051038714,0.032998411
0.842808416,0.125952063,0.060081773,0.015923456,0.031666799,0.027360615
0.874007248,0.104403882,0.060120757,0.013761663,0.027775756,0.027136349
0.723907236,0.223474034,0.05953416,0.023359258,0.045636426,0.025819854
0.808656842,0.154507949,0.060481599,0.017292899,0.035977552,0.026894099
0.832410318,0.134526069,0.059787076,0.015877763,0.033117785,0.028232622
0.76413892,0.185120533,0.060794589,0.019480299,0.040037077,0.02623944
0.781363251,0.175199539,0.060502449,0.018953695,0.038723447,0.024770558
0.729361418,0.257714354,0.077718283,0.026730613,0.186755766,0.025463604
0.756766135,0.231755944,0.07696169,0.02437537,0.179701887,0.023662111
0.716931325,0.263910128,0.077659807,0.028691808,0.188137077,0.025274358
0.624071882,0.344893403,0.083847001,0.039142919,0.212571989,0.029148517
0.659518399,0.31430027,0.08283805,0.033558829,0.202803119,0.028515683
0.694470525,0.284520013,0.077731145,0.029975294,0.193702198,0.026163895
0.668333537,0.305813646,0.080314474,0.03270649,0.200137976,0.027233722
0.185249441,0.88018977,0.747834965,0.658209173,0.908443575,0.533790005
0.32590612,0.702114593,0.29962909,0.218164511,0.600570779,0.097510142
0.193068993,0.877291728,0.695727404,0.69495387,0.895613003,0.463394035
0.275734444,0.777203118,0.392784897,0.426010015,0.714582643,0.005680553
0.189399609,0.894825164,0.735886526,0.657051005,0.904581,0.488753494
0.349131186,0.687557634,0.271789074,0.186482277,0.559202349,0.103273959
0.179938133,0.882197951,0.774995956,0.716434271,0.9183498,0.567251047
0.192676654,0.867374401,0.682009506,0.69320757,0.895774729,0.027761011
0.180348614,0.874440138,0.762598562,0.739588588,0.919482984,0.622924525
0.181575522,0.879085525,0.769431149,0.785404094,0.919975914,0.072163294
0.172758116,0.869414821,0.807332713,0.815919113,0.928724585,0.749981234
0.179563938,0.869353868,0.804057417,0.805147243,0.920443366,0.17200395
0.176717784,0.873372096,0.801924481,0.78652607,0.924210678,0.646010935
0.191322747,0.864896906,0.73970664,0.74580017,0.89698656,0.113312447
0.615063976,0.336195964,0.096148533,0.043499622,0.2416061,0.048448645
0.64177473,0.310647242,0.09482803,0.040532269,0.23261041,0.046299653
0.602722329,0.347294167,0.097659962,0.04611274,0.2479588,0.04853478
0.522717067,0.42694973,0.107307706,0.062033933,0.285903308,0.058858983
0.552137904,0.397422922,0.103623398,0.055932739,0.27102237,0.053650623
0.583772163,0.36344847,0.098080159,0.048328641,0.254770092,0.051221889
0.563781053,0.384228215,0.100581367,0.053838084,0.263432361,0.051944126
0.582756165,0.370358648,0.088942083,0.047377224,0.189778699,0.06623288
0.595939185,0.365368429,0.087858839,0.045670735,0.187431468,0.067841783
0.57554213,0.375695336,0.087830879,0.049247937,0.191956451,0.069847196
0.628276478,0.348920573,0.085061257,0.041241194,0.17947813,0.067493328
0.557530854,0.386799134,0.0919242,0.052835997,0.198216104,0.068586089
0.614567317,0.353877333,0.086489606,0.042967589,0.181485296,0.063118131
0.607732013,0.356511728,0.086206013,0.043401902,0.184452843,0.068007528
0.708048151,0.278170606,0.078330124,0.028426696,0.193841769,0.02690837
0.735033315,0.254668364,0.077668355,0.026653704,0.185983694,0.025604874
0.697790659,0.286887103,0.079348662,0.029948149,0.196179031,0.028129245
