APL,thickness,bending,tilt,zorder,compress
0.736911,3.628972686,10.0802,14.7578,0.175499,24.18218427
0.746226,3.596991408,10.1403,14.3075,0.172084,24.32494896
0.731945,3.65263675,10.2547,14.9777,0.178494,23.76606996
0.76963,3.496051627,10.0232,13.2029,0.163349,22.96076856
0.719509,3.710018202,10.4654,15.753,0.182191,23.1050323
0.760091,3.538908232,9.86163,13.7148,0.166807,23.86049982
0.755326,3.554782844,9.92156,13.8207,0.169264,24.20729244
0.731297,3.702532602,11.0954,15.596,0.209965,37.1422231
0.716342,3.749014348,11.2814,16.9091,0.222972,37.6501084
0.70991,3.77105328,11.6493,17.5899,0.227854,38.54554828
0.721798,3.728110508,11.2973,16.3898,0.217223,37.9098824
0.706632,3.782814824,11.575,17.8868,0.230101,38.34045816
0.696924,3.811544047,11.8928,18.935,0.237949,39.53436592
0.724609,3.721428432,11.3428,15.9845,0.216173,37.75963504
0.750798,3.587758205,10.4462,14.2687,0.192574,29.08405379
0.73087,3.668896415,10.8471,15.6679,0.206606,31.50546623
0.722432,3.696547666,10.9008,16.0426,0.21229,31.39939557
0.738345,3.638468236,10.5391,15.2159,0.203075,32.23606404
0.719589,3.7150425,10.9412,16.4709,0.215075,32.32540912
0.707928,3.766788981,11.5102,17.6154,0.224587,32.53150143
0.74159,3.626752783,10.6097,14.7425,0.199129,30.70526834
0.767797,3.502282362,10.2294,13.3249,0.178353,24.70863188
0.744063,3.601871218,10.4829,14.734,0.193291,25.4217892
0.734337,3.63637698,10.6471,15.1755,0.198054,25.71732084
0.752008,3.561325057,10.2921,14.3945,0.187671,25.1821992
0.729094,3.658536228,10.6117,15.4552,0.201589,26.16349774
0.716228,3.716332387,10.581,16.4521,0.209312,26.94344783
0.756495,3.544567908,10.1997,13.9897,0.185413,25.59689621
0.753827,3.639045326,10.4523,13.8613,0.210707,17.90853786
0.765481,3.594933045,10.3363,13.2419,0.202299,17.1266787
0.750223,3.649185793,10.6697,14.014,0.211793,18.14907846
0.716541,3.785017147,11.4139,16.3721,0.235686,20.52529223
0.729833,3.735578625,11.2025,15.4164,0.226038,19.66439547
0.743005,3.68865736,10.7402,14.4542,0.217311,18.76421152
0.733026,3.713154426,10.9604,15.2847,0.223475,19.01407164
0.800379,3.366908148,8.13015,11.2362,0.0648345,20.0377427
0.81108,3.339096576,8.03207,10.6913,0.0610702,21.79195196
0.758015,3.52406685,8.2394,12.9459,0.079169,18.61131063
0.78714,3.413785974,8.0599,11.6429,0.0705605,21.23208252
0.796495,3.384024631,8.18218,11.2935,0.0667444,20.1780966
0.77208,3.46682422,7.99132,12.3662,0.0753147,19.1796867
0.777779,3.448805403,7.9429,12.1153,0.0734393,19.01169345
0.823071,3.267138375,7.72348,10.294,0.055951,15.98329825
0.836828,3.221920558,7.72836,9.81616,0.0524383,15.86283125
0.770642,3.471783523,7.65493,11.9376,0.0685623,15.15566366
0.808012,3.327061523,7.77353,10.5967,0.0598426,15.73270484
0.818486,3.285130512,7.68659,10.2839,0.0572609,16.4517047
0.788382,3.391300554,7.81271,11.0802,0.0635074,15.38104808
0.795977,3.370481827,7.77614,10.9638,0.0623215,14.59202435
0.773047,3.543635183,9.93121,12.6828,0.19596,14.96430043
0.785131,3.489162711,9.8365,12.1622,0.189592,13.99661159
0.767566,3.556636715,9.92389,13.1163,0.197207,14.86264548
0.72662,3.726576208,10.6984,15.4264,0.219266,16.94368678
0.74225,3.662377996,10.5721,14.1921,0.210447,16.60375375
0.757662,3.599885565,9.93282,13.4,0.202231,15.34046843
0.746137,3.644569226,10.2562,14.0037,0.208041,15.91513623
0.533123,4.849869799,93.8161,152.264,0.847475,288.0166469
0.595145,4.476187634,37.7099,54.9971,0.569538,53.66478154
0.536571,4.843788397,87.2933,160.386,0.835892,250.2027845
0.573022,4.633757279,49.3711,100.939,0.672464,4.337647187
0.534953,4.880581466,92.3204,152.008,0.843988,263.8248585
0.605386,4.445640558,34.2249,47.9941,0.532192,56.76087061
0.530781,4.854083869,97.2161,165.134,0.856418,305.990563
0.536398,4.822977365,85.5761,160,0.836038,16.19837464
0.530962,4.837804472,95.6642,170.252,0.857441,335.8960998
0.531503,4.847552594,96.5195,180.379,0.857886,40.04948191
0.527615,4.827259088,101.264,187.124,0.865784,404.1458158
0.530616,4.82713118,100.854,184.743,0.858308,93.67983711
0.529361,4.835563238,100.587,180.627,0.861709,348.2971839
0.535801,4.817778462,92.7986,171.625,0.837132,62.15313979
0.722648,3.708325053,12.2383,16.3894,0.245477,27.31093359
0.734426,3.654712293,12.073,15.7335,0.237356,26.15658217
0.717206,3.731614097,12.4275,16.967,0.251212,27.35720167
0.681928,3.89876745,13.6352,20.4862,0.285467,32.90294537
0.694901,3.836806868,13.174,19.1376,0.272033,30.10522504
0.70885,3.765513121,12.4801,17.4568,0.257361,28.80060778
0.700035,3.809118414,12.7932,18.6746,0.265181,29.18856392
0.708402,3.780013796,11.3362,17.2465,0.198689,36.86390409
0.714215,3.769542064,11.2006,16.8693,0.19657,37.7281413
0.705221,3.791212579,11.1971,17.66,0.200655,38.80536781
0.728474,3.735027032,10.8504,15.8902,0.18939,37.54096549
0.697279,3.814513364,11.7095,18.4531,0.206306,38.12795235
0.722429,3.745428553,11.0292,16.2718,0.191202,35.19078663
0.719415,3.750956703,10.9937,16.3678,0.193881,37.81717275
0.763649,3.586561641,10.0078,13.0577,0.202357,15.74037029
0.775548,3.53724332,9.92496,12.6658,0.195263,15.04018494
0.759126,3.604852788,10.1353,13.394,0.204467,16.3961749
0.720858,3.760541343,11.051,15.7535,0.228347,18.89141799
0.735705,3.696340619,10.7159,14.6025,0.218581,17.55566062
0.750916,3.641032424,10.2407,13.7626,0.209036,16.27851549
0.740741,3.681220104,10.4508,14.475,0.215347,17.29554448
0.74687,3.577556073,9.75235,13.902,0.167691,20.26011878
0.757669,3.534942454,9.66994,13.3498,0.162531,19.46189
0.740148,3.603704944,9.81166,14.29,0.168556,19.1631028
0.787335,3.417811696,9.42483,12.0915,0.153797,19.11616593
0.724347,3.673213027,10.1475,14.8534,0.17456,19.83316823
0.774238,3.466556177,9.65464,12.7695,0.158423,19.15490218
0.767809,3.491030391,9.61602,12.9916,0.161454,18.86885081
0.703747,3.857912168,14.8392,19.7123,0.29756,17.33338759
0.708483,3.832460191,14.48,19.0018,0.292216,17.02944115
0.727386,3.754277215,13.4514,16.9456,0.270936,15.58889072
0.691485,3.919575386,15.4557,21.1983,0.313769,19.79235215
0.680042,3.972185581,16.5107,22.823,0.330133,21.54357302
0.657781,4.08289189,18.7307,27.4228,0.371319,26.44921251
0.674191,3.998906568,16.9775,23.9551,0.339604,22.96609777
0.742612,3.601867864,9.89016,14.2368,0.169759,21.88943219
0.752789,3.56124094,9.7448,13.6315,0.167082,21.64430502
0.736752,3.620498134,10.2403,14.6241,0.173284,21.2443161
0.780653,3.450640532,9.723,12.7519,0.158564,20.41422037
0.721967,3.688479003,10.2729,15.2817,0.177246,21.91408255
0.766503,3.502637277,9.74307,13.3218,0.164835,21.41487604
0.761975,3.523330191,9.84673,13.466,0.164968,21.6074653
0.660432,4.13077449,19.7223,27.2879,0.376914,31.55188259
0.66438,4.118332171,19.1361,26.6246,0.368372,29.82010041
0.673076,4.081958298,18.4418,24.689,0.351356,27.63314647
0.654294,4.153938396,20.5211,28.9596,0.387714,34.96951949
0.647809,4.181966355,21.3043,30.2427,0.403375,35.7071225
0.634812,4.244124913,23.2916,34.9154,0.434141,43.3425329
0.644541,4.200829982,21.7996,31.6801,0.411559,38.11089995
0.652131,4.191103008,21.2205,29.296,0.393697,35.01783413
0.654638,4.183505061,20.5902,29.3871,0.3887,36.06251762
0.661819,4.167397493,19.7511,26.714,0.373942,33.68297832
0.647026,4.20259055,21.7048,30.6111,0.406068,37.16479779
0.641454,4.221413025,22.4984,32.5933,0.418622,41.22005213
0.629565,4.260781694,24.7533,37.0125,0.450149,45.8684536
0.638745,4.240936727,22.9568,33.7014,0.426279,43.01526675
0.729911,3.664428169,10.3394,15.4305,0.18206,26.90361054
0.739173,3.629495741,10.223,14.6408,0.178408,26.3030248
0.726489,3.6828878,10.3973,15.5721,0.183189,26.58814976
0.760333,3.549699229,10.3922,13.9283,0.17064,24.84692174
0.712969,3.740830945,10.7069,16.3843,0.188587,26.04059127
0.750651,3.58506877,10.2745,14.3784,0.174632,26.05782155
0.745728,3.597647202,10.2366,14.3394,0.174494,25.08288891
0.706089,3.805548896,13.1901,17.8916,0.264724,32.37607307
0.716595,3.761025011,12.6634,17.1495,0.254334,31.67382263
0.703451,3.810570855,12.9592,18.2804,0.267614,32.79348367
0.673459,3.957635071,14.5252,22.0636,0.304175,37.678464
0.684045,3.899888507,14.0664,20.7356,0.28978,37.16913256
0.695631,3.848601917,13.4225,19.2441,0.276524,35.79959928
0.68882,3.874871935,13.7166,19.9583,0.283987,36.08004405
0.813019,3.322850412,7.93612,10.678,0.0605798,18.23226463
0.824145,3.274354561,7.90522,10.3768,0.0564507,18.0423297
0.765226,3.494404789,8.15662,12.433,0.0749957,16.7088133
0.796432,3.373048546,7.78569,11.3792,0.0640702,17.21080587
0.806989,3.339201265,7.90128,10.8998,0.0611914,18.09149531
0.781818,3.429100687,8.01723,11.6717,0.0703999,17.33333702
0.787753,3.402563239,7.88217,11.441,0.0676913,17.68166959
0.716042,3.739410248,11.0092,16.5243,0.193527,34.50797387
0.722934,3.71837199,10.9114,16.2093,0.191188,32.5731636
0.712611,3.753550151,11.1898,17.1182,0.196011,33.69011191
0.740045,3.664827126,10.7697,14.9654,0.181839,32.03269884
0.702051,3.790907076,11.2813,17.8283,0.200164,33.79471391
0.731297,3.692100125,10.8394,15.7553,0.184512,32.69166401
0.7284,3.697240219,10.7723,15.7865,0.187358,32.57984183
0.696855,3.900527853,15.4887,20.6711,0.307449,18.87246264
0.702114,3.878417497,14.9888,19.7547,0.301375,18.43097373
0.718747,3.808572852,14.0305,18.1635,0.281032,15.9085239
0.686805,3.953924483,16.2784,22.0452,0.322441,20.61368087
0.675004,4.003545711,17.2014,24.0035,0.34125,23.57340749
0.654846,4.112577371,19.4665,28.5522,0.379229,28.07755764
0.669977,4.036018968,17.8894,25.0859,0.349768,23.65636536
0.690045,3.952095951,16.1048,21.7136,0.319712,21.07660899
0.69371,3.928413695,15.7489,21.4849,0.314544,20.77069374
0.707463,3.871086044,14.9,19.2504,0.295729,18.24722291
0.680298,3.999368966,16.8526,22.9819,0.33538,23.38202136
0.669875,4.050722073,17.6854,24.7512,0.353138,24.2805432
0.650822,4.135294314,20.2706,29.4839,0.389392,30.7596889
0.664168,4.070015901,18.7057,26.4755,0.363707,26.42450665
0.728246,3.678184945,11.8711,15.9183,0.240461,25.39935969
0.742413,3.620196511,11.6242,15.0637,0.230406,23.15237022
0.723479,3.696359737,11.9971,16.2794,0.241457,25.43884681
0.685854,3.876241345,13.3766,19.9803,0.278591,30.82976037
0.698497,3.814100582,12.8099,18.4123,0.265841,28.93761928
0.714062,3.741359267,12.2089,16.8531,0.251437,26.53634277
0.703908,3.78261488,12.6042,17.7669,0.258512,27.11641447
0.743277,3.690813935,11.1349,14.502,0.219636,19.35458466
0.75275,3.659458412,10.5914,13.8428,0.212793,19.46807971
0.740505,3.702624491,10.9263,14.8541,0.221663,20.24230434
0.709654,3.828831061,11.7812,17.2999,0.245291,22.7251635
0.722462,3.768849562,11.363,16.0849,0.233336,22.18389378
0.733418,3.729955131,11.0028,15.0541,0.226717,20.8532267
0.725628,3.758519297,11.2908,15.8696,0.230724,22.16931265
0.670486,4.068690873,18.4275,25.4231,0.355509,27.03910871
0.674833,4.047084699,17.8434,24.7369,0.347121,26.63786077
0.685213,4.00382019,17.0091,22.3727,0.330169,24.3681622
0.663425,4.099841644,19.1676,26.6967,0.369731,28.73472859
0.655019,4.131989609,20.1802,28.3879,0.386224,31.55899
0.641005,4.210745329,22.2826,33.4497,0.417398,37.50719117
0.651008,4.154632681,20.7433,30.0619,0.393929,32.5013297
0.616721,4.320006869,30.0423,41.9431,0.495016,47.47333261
0.617388,4.323629075,29.6115,41.491,0.493258,48.58051912
0.618462,4.310496538,29.3318,42.3086,0.491012,23.74080278
0.621516,4.302548997,28.4325,39.6789,0.48136,47.66229333
0.631067,4.245157205,26.3972,35.8884,0.453916,42.45798129
0.631329,4.24817672,26.3366,35.7019,0.451162,41.37593483
0.535788,4.827908878,90.1583,138.434,0.839683,212.5666284
0.609952,4.355160978,31.7971,45.0774,0.516343,52.32055662
0.540108,4.788505506,78.8917,153.339,0.822866,82.92825213
0.602587,4.402855031,34.0753,49.821,0.542299,54.69086271
0.529215,4.840226613,96.5442,174.455,0.861774,281.05859
0.530301,4.849096154,90.2808,174.65,0.858967,16.43679038
0.533344,4.833428661,94.5169,132.93,0.847182,230.1398504
0.598496,4.417354102,35.912,52.6618,0.558031,53.53949118
0.77622,3.46156273,10.0226,12.8017,0.172339,22.68392827
0.748723,3.573131359,10.2941,14.3004,0.186439,25.06375336
0.739282,3.612633379,10.3253,14.7526,0.192401,24.78587175
0.758431,3.534385785,10.0541,13.7198,0.181049,23.18138697
0.732099,3.635634222,10.4558,15.0471,0.196092,24.64485664
0.718767,3.70081647,10.5932,16.0234,0.203065,26.44161388
0.762904,3.517418938,9.97525,13.5417,0.180506,23.66561824
0.722606,3.710097541,10.6557,16.0918,0.188603,29.31339491
0.730259,3.676312208,10.5858,15.3828,0.18401,30.4195762
0.719593,3.720338199,10.721,16.273,0.189086,30.28734561
0.750471,3.602912721,10.3832,14.4142,0.174613,27.09186012
0.70802,3.76466119,10.9659,17.1154,0.195151,31.61906893
0.740954,3.63652636,10.5997,15.1407,0.179743,27.6880036
0.737484,3.6548531,10.6672,15.0666,0.182213,28.83885417
0.713977,3.759147479,12.5419,17.3491,0.255777,29.56446357
0.725687,3.700573197,12.3462,16.3478,0.245477,28.30428901
0.710671,3.772982871,12.7154,17.5662,0.259943,29.7878706
0.67775,3.920975177,14.1621,21.5436,0.296112,34.8987691
0.689767,3.862238254,13.4772,19.6944,0.280549,33.50622669
0.702539,3.807325422,13.1833,18.2646,0.266811,30.83490178
0.694295,3.845034921,13.36,19.0372,0.274808,32.51259654
0.534971,4.849600821,92.1208,142.98,0.844331,244.1022892
0.60361,4.414366645,34.4916,49.7765,0.540129,57.40063456
0.535266,4.842642684,92.1392,147.781,0.843577,243.3064205
0.605652,4.405610479,33.5882,48.0672,0.531525,54.87323959
0.539848,4.837769906,85.2984,127.298,0.828031,87.22860953
0.613841,4.370970919,30.8753,43.6176,0.505323,55.98795108
