APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.736911,3.628973,10.0802,14.7578,0.175499,24.182184,yes,PI,20
0.746226,3.596991,10.1403,14.3075,0.172084,24.324949,yes,PI,20
0.731945,3.652637,10.2547,14.9777,0.178494,23.76607,yes,PI,20
0.76963,3.496052,10.0232,13.2029,0.163349,22.960769,yes,PI,20
0.719509,3.710018,10.4654,15.753,0.182191,23.105032,yes,PI,20
0.760091,3.538908,9.86163,13.7148,0.166807,23.8605,yes,PI,20
0.755326,3.554783,9.92156,13.8207,0.169264,24.207292,yes,PI,20
0.731297,3.702533,11.0954,15.596,0.209965,37.142223,yes,DO,20
0.716342,3.749014,11.2814,16.9091,0.222972,37.650108,yes,DO,20
0.70991,3.771053,11.6493,17.5899,0.227854,38.545548,yes,DO,20
0.721798,3.728111,11.2973,16.3898,0.217223,37.909882,yes,DO,20
0.706632,3.782815,11.575,17.8868,0.230101,38.340458,yes,DO,20
0.696924,3.811544,11.8928,18.935,0.237949,39.534366,yes,DO,20
0.724609,3.721428,11.3428,15.9845,0.216173,37.759635,yes,DO,20
0.750798,3.587758,10.4462,14.2687,0.192574,29.084054,yes,DO,20
0.73087,3.668896,10.8471,15.6679,0.206606,31.505466,yes,DO,20
0.722432,3.696548,10.9008,16.0426,0.21229,31.399396,yes,DO,20
0.738345,3.638468,10.5391,15.2159,0.203075,32.236064,yes,DO,20
0.719589,3.715043,10.9412,16.4709,0.215075,32.325409,yes,DO,20
0.707928,3.766789,11.5102,17.6154,0.224587,32.531501,yes,DO,20
0.74159,3.626753,10.6097,14.7425,0.199129,30.705268,yes,DO,20
0.767797,3.502282,10.2294,13.3249,0.178353,24.708632,yes,DO,20
0.744063,3.601871,10.4829,14.734,0.193291,25.421789,yes,DO,20
0.734337,3.636377,10.6471,15.1755,0.198054,25.717321,yes,DO,20
0.752008,3.561325,10.2921,14.3945,0.187671,25.182199,yes,DO,20
0.729094,3.658536,10.6117,15.4552,0.201589,26.163498,yes,DO,20
0.716228,3.716332,10.581,16.4521,0.209312,26.943448,yes,DO,20
0.756495,3.544568,10.1997,13.9897,0.185413,25.596896,yes,DO,20
0.753827,3.639045,10.4523,13.8613,0.210707,17.908538,yes,PO,20
0.765481,3.594933,10.3363,13.2419,0.202299,17.126679,yes,PO,20
0.750223,3.649186,10.6697,14.014,0.211793,18.149078,yes,PO,20
0.716541,3.785017,11.4139,16.3721,0.235686,20.525292,yes,PO,20
0.729833,3.735579,11.2025,15.4164,0.226038,19.664395,yes,PO,20
0.743005,3.688657,10.7402,14.4542,0.217311,18.764212,yes,PO,20
0.733026,3.713154,10.9604,15.2847,0.223475,19.014072,yes,PO,20
0.800379,3.366908,8.13015,11.2362,0.064835,20.037743,yes,DI,20
0.81108,3.339097,8.03207,10.6913,0.06107,21.791952,yes,DI,20
0.758015,3.524067,8.2394,12.9459,0.079169,18.611311,yes,DI,20
0.78714,3.413786,8.0599,11.6429,0.07056,21.232083,yes,DI,20
0.796495,3.384025,8.18218,11.2935,0.066744,20.178097,yes,DI,20
0.77208,3.466824,7.99132,12.3662,0.075315,19.179687,yes,DI,20
0.777779,3.448805,7.9429,12.1153,0.073439,19.011693,yes,DI,20
0.823071,3.267138,7.72348,10.294,0.055951,15.983298,yes,DI,20
0.836828,3.221921,7.72836,9.81616,0.052438,15.862831,yes,DI,20
0.770642,3.471784,7.65493,11.9376,0.068562,15.155664,yes,DI,20
0.808012,3.327062,7.77353,10.5967,0.059843,15.732705,yes,DI,20
0.818486,3.285131,7.68659,10.2839,0.057261,16.451705,yes,DI,20
0.788382,3.391301,7.81271,11.0802,0.063507,15.381048,yes,DI,20
0.795977,3.370482,7.77614,10.9638,0.062322,14.592024,yes,DI,20
0.773047,3.543635,9.93121,12.6828,0.19596,14.9643,yes,PO,20
0.785131,3.489163,9.8365,12.1622,0.189592,13.996612,yes,PO,20
0.767566,3.556637,9.92389,13.1163,0.197207,14.862645,yes,PO,20
0.72662,3.726576,10.6984,15.4264,0.219266,16.943687,yes,PO,20
0.74225,3.662378,10.5721,14.1921,0.210447,16.603754,yes,PO,20
0.757662,3.599886,9.93282,13.4,0.202231,15.340468,yes,PO,20
0.746137,3.644569,10.2562,14.0037,0.208041,15.915136,yes,PO,20
0.533123,4.84987,93.8161,152.264,0.847475,288.016647,yes,DP,20
0.595145,4.476188,37.7099,54.9971,0.569538,53.664782,yes,DP,20
0.536571,4.843788,87.2933,160.386,0.835892,250.202785,yes,DP,20
0.573022,4.633757,49.3711,100.939,0.672464,4.337647,yes,DP,20
0.534953,4.880581,92.3204,152.008,0.843988,263.824859,yes,DP,20
0.605386,4.445641,34.2249,47.9941,0.532192,56.760871,yes,DP,20
0.530781,4.854084,97.2161,165.134,0.856418,305.990563,yes,DP,20
0.536398,4.822977,85.5761,160,0.836038,16.198375,yes,DP,20
0.530962,4.837804,95.6642,170.252,0.857441,335.8961,yes,DP,20
0.531503,4.847553,96.5195,180.379,0.857886,40.049482,yes,DP,20
0.527615,4.827259,101.264,187.124,0.865784,404.145816,yes,DP,20
0.530616,4.827131,100.854,184.743,0.858308,93.679837,yes,DP,20
0.529361,4.835563,100.587,180.627,0.861709,348.297184,yes,DP,20
0.535801,4.817778,92.7986,171.625,0.837132,62.15314,yes,DP,20
0.722648,3.708325,12.2383,16.3894,0.245477,27.310934,yes,PO,20
0.734426,3.654712,12.073,15.7335,0.237356,26.156582,yes,PO,20
0.717206,3.731614,12.4275,16.967,0.251212,27.357202,yes,PO,20
0.681928,3.898767,13.6352,20.4862,0.285467,32.902945,yes,PO,20
0.694901,3.836807,13.174,19.1376,0.272033,30.105225,yes,PO,20
0.70885,3.765513,12.4801,17.4568,0.257361,28.800608,yes,PO,20
0.700035,3.809118,12.7932,18.6746,0.265181,29.188564,yes,PO,20
0.708402,3.780014,11.3362,17.2465,0.198689,36.863904,yes,PI,20
0.714215,3.769542,11.2006,16.8693,0.19657,37.728141,yes,PI,20
0.705221,3.791213,11.1971,17.66,0.200655,38.805368,yes,PI,20
0.728474,3.735027,10.8504,15.8902,0.18939,37.540965,yes,PI,20
0.697279,3.814513,11.7095,18.4531,0.206306,38.127952,yes,PI,20
0.722429,3.745429,11.0292,16.2718,0.191202,35.190787,yes,PI,20
0.719415,3.750957,10.9937,16.3678,0.193881,37.817173,yes,PI,20
0.763649,3.586562,10.0078,13.0577,0.202357,15.74037,yes,PO,20
0.775548,3.537243,9.92496,12.6658,0.195263,15.040185,yes,PO,20
0.759126,3.604853,10.1353,13.394,0.204467,16.396175,yes,PO,20
0.720858,3.760541,11.051,15.7535,0.228347,18.891418,yes,PO,20
0.735705,3.696341,10.7159,14.6025,0.218581,17.555661,yes,PO,20
0.750916,3.641032,10.2407,13.7626,0.209036,16.278515,yes,PO,20
0.740741,3.68122,10.4508,14.475,0.215347,17.295544,yes,PO,20
0.74687,3.577556,9.75235,13.902,0.167691,20.260119,yes,PI,20
0.757669,3.534942,9.66994,13.3498,0.162531,19.46189,yes,PI,20
0.740148,3.603705,9.81166,14.29,0.168556,19.163103,yes,PI,20
0.787335,3.417812,9.42483,12.0915,0.153797,19.116166,yes,PI,20
0.724347,3.673213,10.1475,14.8534,0.17456,19.833168,yes,PI,20
0.774238,3.466556,9.65464,12.7695,0.158423,19.154902,yes,PI,20
0.767809,3.49103,9.61602,12.9916,0.161454,18.868851,yes,PI,20
0.703747,3.857912,14.8392,19.7123,0.29756,17.333388,yes,DP,20
0.708483,3.83246,14.48,19.0018,0.292216,17.029441,yes,DP,20
0.727386,3.754277,13.4514,16.9456,0.270936,15.588891,yes,DP,20
0.691485,3.919575,15.4557,21.1983,0.313769,19.792352,yes,DP,20
0.680042,3.972186,16.5107,22.823,0.330133,21.543573,yes,DP,20
0.657781,4.082892,18.7307,27.4228,0.371319,26.449213,yes,DP,20
0.674191,3.998907,16.9775,23.9551,0.339604,22.966098,yes,DP,20
0.742612,3.601868,9.89016,14.2368,0.169759,21.889432,yes,PI,20
0.752789,3.561241,9.7448,13.6315,0.167082,21.644305,yes,PI,20
0.736752,3.620498,10.2403,14.6241,0.173284,21.244316,yes,PI,20
0.780653,3.450641,9.723,12.7519,0.158564,20.41422,yes,PI,20
0.721967,3.688479,10.2729,15.2817,0.177246,21.914083,yes,PI,20
0.766503,3.502637,9.74307,13.3218,0.164835,21.414876,yes,PI,20
0.761975,3.52333,9.84673,13.466,0.164968,21.607465,yes,PI,20
0.660432,4.130774,19.7223,27.2879,0.376914,31.551883,yes,DP,20
0.66438,4.118332,19.1361,26.6246,0.368372,29.8201,yes,DP,20
0.673076,4.081958,18.4418,24.689,0.351356,27.633146,yes,DP,20
0.654294,4.153938,20.5211,28.9596,0.387714,34.969519,yes,DP,20
0.647809,4.181966,21.3043,30.2427,0.403375,35.707122,yes,DP,20
0.634812,4.244125,23.2916,34.9154,0.434141,43.342533,yes,DP,20
0.644541,4.20083,21.7996,31.6801,0.411559,38.1109,yes,DP,20
0.652131,4.191103,21.2205,29.296,0.393697,35.017834,yes,DP,20
0.654638,4.183505,20.5902,29.3871,0.3887,36.062518,yes,DP,20
0.661819,4.167397,19.7511,26.714,0.373942,33.682978,yes,DP,20
0.647026,4.202591,21.7048,30.6111,0.406068,37.164798,yes,DP,20
0.641454,4.221413,22.4984,32.5933,0.418622,41.220052,yes,DP,20
0.629565,4.260782,24.7533,37.0125,0.450149,45.868454,yes,DP,20
0.638745,4.240937,22.9568,33.7014,0.426279,43.015267,yes,DP,20
0.729911,3.664428,10.3394,15.4305,0.18206,26.903611,yes,PI,20
0.739173,3.629496,10.223,14.6408,0.178408,26.303025,yes,PI,20
0.726489,3.682888,10.3973,15.5721,0.183189,26.58815,yes,PI,20
0.760333,3.549699,10.3922,13.9283,0.17064,24.846922,yes,PI,20
0.712969,3.740831,10.7069,16.3843,0.188587,26.040591,yes,PI,20
0.750651,3.585069,10.2745,14.3784,0.174632,26.057822,yes,PI,20
0.745728,3.597647,10.2366,14.3394,0.174494,25.082889,yes,PI,20
0.706089,3.805549,13.1901,17.8916,0.264724,32.376073,yes,PO,20
0.716595,3.761025,12.6634,17.1495,0.254334,31.673823,yes,PO,20
0.703451,3.810571,12.9592,18.2804,0.267614,32.793484,yes,PO,20
0.673459,3.957635,14.5252,22.0636,0.304175,37.678464,yes,PO,20
0.684045,3.899889,14.0664,20.7356,0.28978,37.169133,yes,PO,20
0.695631,3.848602,13.4225,19.2441,0.276524,35.799599,yes,PO,20
0.68882,3.874872,13.7166,19.9583,0.283987,36.080044,yes,PO,20
0.813019,3.32285,7.93612,10.678,0.06058,18.232265,yes,DI,20
0.824145,3.274355,7.90522,10.3768,0.056451,18.04233,yes,DI,20
0.765226,3.494405,8.15662,12.433,0.074996,16.708813,yes,DI,20
0.796432,3.373049,7.78569,11.3792,0.06407,17.210806,yes,DI,20
0.806989,3.339201,7.90128,10.8998,0.061191,18.091495,yes,DI,20
0.781818,3.429101,8.01723,11.6717,0.0704,17.333337,yes,DI,20
0.787753,3.402563,7.88217,11.441,0.067691,17.68167,yes,DI,20
0.716042,3.73941,11.0092,16.5243,0.193527,34.507974,yes,PI,20
0.722934,3.718372,10.9114,16.2093,0.191188,32.573164,yes,PI,20
0.712611,3.75355,11.1898,17.1182,0.196011,33.690112,yes,PI,20
0.740045,3.664827,10.7697,14.9654,0.181839,32.032699,yes,PI,20
0.702051,3.790907,11.2813,17.8283,0.200164,33.794714,yes,PI,20
0.731297,3.6921,10.8394,15.7553,0.184512,32.691664,yes,PI,20
0.7284,3.69724,10.7723,15.7865,0.187358,32.579842,yes,PI,20
0.696855,3.900528,15.4887,20.6711,0.307449,18.872463,yes,DP,20
0.702114,3.878417,14.9888,19.7547,0.301375,18.430974,yes,DP,20
0.718747,3.808573,14.0305,18.1635,0.281032,15.908524,yes,DP,20
0.686805,3.953924,16.2784,22.0452,0.322441,20.613681,yes,DP,20
0.675004,4.003546,17.2014,24.0035,0.34125,23.573407,yes,DP,20
0.654846,4.112577,19.4665,28.5522,0.379229,28.077558,yes,DP,20
0.669977,4.036019,17.8894,25.0859,0.349768,23.656365,yes,DP,20
0.690045,3.952096,16.1048,21.7136,0.319712,21.076609,yes,DP,20
0.69371,3.928414,15.7489,21.4849,0.314544,20.770694,yes,DP,20
0.707463,3.871086,14.9,19.2504,0.295729,18.247223,yes,DP,20
0.680298,3.999369,16.8526,22.9819,0.33538,23.382021,yes,DP,20
0.669875,4.050722,17.6854,24.7512,0.353138,24.280543,yes,DP,20
0.650822,4.135294,20.2706,29.4839,0.389392,30.759689,yes,DP,20
0.664168,4.070016,18.7057,26.4755,0.363707,26.424507,yes,DP,20
0.728246,3.678185,11.8711,15.9183,0.240461,25.39936,yes,PO,20
0.742413,3.620197,11.6242,15.0637,0.230406,23.15237,yes,PO,20
0.723479,3.69636,11.9971,16.2794,0.241457,25.438847,yes,PO,20
0.685854,3.876241,13.3766,19.9803,0.278591,30.82976,yes,PO,20
0.698497,3.814101,12.8099,18.4123,0.265841,28.937619,yes,PO,20
0.714062,3.741359,12.2089,16.8531,0.251437,26.536343,yes,PO,20
