APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.64741,0.298381,0.078908,0.036118,0.164091,0.042624,yes,PI,20
0.668535,0.283141,0.079389,0.034081,0.160308,0.04289,yes,PI,20
0.636148,0.309658,0.080302,0.037113,0.167409,0.041849,yes,PI,20
0.721612,0.235039,0.078453,0.029084,0.150632,0.04035,yes,PI,20
0.607945,0.337003,0.081986,0.04062,0.171504,0.040619,yes,PI,20
0.699979,0.255462,0.077162,0.031399,0.154463,0.042025,yes,PI,20
0.689173,0.263027,0.077641,0.031879,0.157184,0.042671,yes,PI,20
0.634679,0.333436,0.087018,0.03991,0.202269,0.066751,yes,DO,20
0.600763,0.355586,0.088504,0.045851,0.216677,0.067697,yes,DO,20
0.586176,0.366089,0.091443,0.048931,0.222085,0.069364,yes,DO,20
0.613136,0.345625,0.088631,0.043501,0.210309,0.06818,yes,DO,20
0.578742,0.371693,0.09085,0.050274,0.224574,0.068982,yes,DO,20
0.556726,0.385384,0.093388,0.055016,0.233267,0.071204,yes,DO,20
0.619511,0.34244,0.088995,0.041668,0.209146,0.0679,yes,DO,20
0.678904,0.278741,0.081832,0.033905,0.183005,0.05175,yes,DO,20
0.63371,0.317407,0.085035,0.040235,0.198548,0.056257,yes,DO,20
0.614574,0.330584,0.085464,0.041931,0.204845,0.05606,yes,DO,20
0.650662,0.302906,0.082574,0.038191,0.194637,0.057617,yes,DO,20
0.608127,0.339397,0.085787,0.043868,0.20793,0.057784,yes,DO,20
0.581681,0.364056,0.090332,0.049046,0.218466,0.058167,yes,DO,20
0.658022,0.297323,0.083138,0.036049,0.190266,0.054768,yes,DO,20
0.717455,0.238008,0.0801,0.029636,0.167252,0.043604,yes,DO,20
0.66363,0.285466,0.082125,0.03601,0.183799,0.044932,yes,DO,20
0.641573,0.30191,0.083437,0.038008,0.189075,0.045482,yes,DO,20
0.681648,0.266144,0.080601,0.034475,0.177574,0.044486,yes,DO,20
0.629683,0.31247,0.083154,0.039273,0.192991,0.046313,yes,DO,20
0.600504,0.340012,0.082909,0.043783,0.201546,0.047765,yes,DO,20
0.691824,0.258159,0.079863,0.032643,0.175073,0.045258,yes,DO,20
0.685773,0.303181,0.081881,0.032062,0.203091,0.030945,yes,PO,20
0.712203,0.28216,0.080954,0.02926,0.193778,0.029489,yes,PO,20
0.6776,0.308014,0.083618,0.032753,0.204294,0.031393,yes,PO,20
0.601214,0.372743,0.089563,0.043421,0.230761,0.035816,yes,PO,20
0.631358,0.349183,0.087874,0.039098,0.220073,0.034214,yes,PO,20
0.661231,0.326823,0.084181,0.034745,0.210406,0.032538,yes,PO,20
0.6386,0.338497,0.08594,0.038502,0.217234,0.033003,yes,PO,20
0.791346,0.173497,0.06333,0.020186,0.041507,0.034909,yes,DI,20
0.815615,0.160243,0.062547,0.017721,0.037337,0.038174,yes,DI,20
0.695271,0.248389,0.064203,0.027921,0.057386,0.032253,yes,DI,20
0.761322,0.195836,0.062769,0.022026,0.04785,0.037132,yes,DI,20
0.782538,0.181653,0.063746,0.020445,0.043623,0.03517,yes,DI,20
0.727168,0.221111,0.062221,0.025298,0.053116,0.033311,yes,DI,20
0.740093,0.212524,0.061835,0.024163,0.051039,0.032998,yes,DI,20
0.842808,0.125952,0.060082,0.015923,0.031667,0.027361,yes,DI,20
0.874007,0.104404,0.060121,0.013762,0.027776,0.027136,yes,DI,20
0.723907,0.223474,0.059534,0.023359,0.045636,0.02582,yes,DI,20
0.808657,0.154508,0.060482,0.017293,0.035978,0.026894,yes,DI,20
0.83241,0.134526,0.059787,0.015878,0.033118,0.028233,yes,DI,20
0.764139,0.185121,0.060795,0.01948,0.040037,0.026239,yes,DI,20
0.781363,0.1752,0.060502,0.018954,0.038723,0.024771,yes,DI,20
0.729361,0.257714,0.077718,0.026731,0.186756,0.025464,yes,PO,20
0.756766,0.231756,0.076962,0.024375,0.179702,0.023662,yes,PO,20
0.716931,0.26391,0.07766,0.028692,0.188137,0.025274,yes,PO,20
0.624072,0.344893,0.083847,0.039143,0.212572,0.029149,yes,PO,20
0.659518,0.3143,0.082838,0.033559,0.202803,0.028516,yes,PO,20
0.694471,0.28452,0.077731,0.029975,0.193702,0.026164,yes,PO,20
0.668334,0.305814,0.080314,0.032706,0.200138,0.027234,yes,PO,20
0.185249,0.88019,0.747835,0.658209,0.908444,0.53379,yes,DP,20
0.325906,0.702115,0.299629,0.218165,0.600571,0.09751,yes,DP,20
0.193069,0.877292,0.695727,0.694954,0.895613,0.463394,yes,DP,20
0.275734,0.777203,0.392785,0.42601,0.714583,0.005681,yes,DP,20
0.1894,0.894825,0.735887,0.657051,0.904581,0.488753,yes,DP,20
0.349131,0.687558,0.271789,0.186482,0.559202,0.103274,yes,DP,20
0.179938,0.882198,0.774996,0.716434,0.91835,0.567251,yes,DP,20
0.192677,0.867374,0.68201,0.693208,0.895775,0.027761,yes,DP,20
0.180349,0.87444,0.762599,0.739589,0.919483,0.622925,yes,DP,20
0.181576,0.879086,0.769431,0.785404,0.919976,0.072163,yes,DP,20
0.172758,0.869415,0.807333,0.815919,0.928725,0.749981,yes,DP,20
0.179564,0.869354,0.804057,0.805147,0.920443,0.172004,yes,DP,20
0.176718,0.873372,0.801924,0.786526,0.924211,0.646011,yes,DP,20
0.191323,0.864897,0.739707,0.7458,0.896987,0.113312,yes,DP,20
0.615064,0.336196,0.096149,0.0435,0.241606,0.048449,yes,PO,20
0.641775,0.310647,0.094828,0.040532,0.23261,0.0463,yes,PO,20
0.602722,0.347294,0.09766,0.046113,0.247959,0.048535,yes,PO,20
0.522717,0.42695,0.107308,0.062034,0.285903,0.058859,yes,PO,20
0.552138,0.397423,0.103623,0.055933,0.271022,0.053651,yes,PO,20
0.583772,0.363448,0.09808,0.048329,0.25477,0.051222,yes,PO,20
0.563781,0.384228,0.100581,0.053838,0.263432,0.051944,yes,PO,20
0.582756,0.370359,0.088942,0.047377,0.189779,0.066233,yes,PI,20
0.595939,0.365368,0.087859,0.045671,0.187431,0.067842,yes,PI,20
0.575542,0.375695,0.087831,0.049248,0.191956,0.069847,yes,PI,20
0.628276,0.348921,0.085061,0.041241,0.179478,0.067493,yes,PI,20
0.557531,0.386799,0.091924,0.052836,0.198216,0.068586,yes,PI,20
0.614567,0.353877,0.08649,0.042968,0.181485,0.063118,yes,PI,20
0.607732,0.356512,0.086206,0.043402,0.184453,0.068008,yes,PI,20
0.708048,0.278171,0.07833,0.028427,0.193842,0.026908,yes,PO,20
